,barri,quotidia,variacio,fires,mercats,galeries,centres,score,nomBarri
0,1,1,1,1,1,0,1,9,el Raval
1,2,0,1,1,1,1,0,5,el Barri Gòtic
2,3,1,0,1,1,0,1,7,la Barceloneta
3,4,1,1,1,1,0,1,9,"Sant Pere, Santa Caterina i la Ribera"
4,5,0,1,1,1,0,1,5,el Fort Pienc
5,6,1,1,1,1,1,1,10,la Sagrada Família
6,7,1,1,0,1,1,0,8,la Dreta de l'Eixample
7,8,1,1,0,1,0,1,8,l'Antiga Esquerra de l'Eixample
8,9,1,1,0,0,0,0,6,la Nova Esquerra de l'Eixample
9,10,1,1,1,1,0,1,9,Sant Antoni
10,11,0,1,0,0,0,1,3,el Poble Sec
11,12,0,0,1,0,0,1,2,la Marina del Prat Vermell
12,13,1,1,0,1,0,0,7,la Marina de Port
13,14,0,0,0,0,0,1,1,la Font de la Guatlla
14,15,1,1,0,1,0,1,8,Hostafrancs
15,16,0,0,0,0,0,1,1,la Bordeta
16,17,0,1,0,0,0,1,3,Sants - Badal
17,18,0,1,1,1,0,1,5,Sants
18,19,1,1,1,1,0,0,8,les Corts
19,20,1,1,0,0,0,1,7,la Maternitat i Sant Ramon
20,21,1,0,0,0,0,1,5,Pedralbes
21,22,1,0,0,0,0,1,5,"Vallvidrera, el Tibidabo i les Planes"
22,23,1,1,1,1,0,1,9,Sarrià
23,24,1,0,0,1,0,1,6,les Tres Torres
24,25,1,1,1,1,0,1,9,Sant Gervasi - la Bonanova
25,26,0,1,0,1,0,1,4,Sant Gervasi - Galvany
26,27,0,1,0,0,0,1,3,el Putxet i el Farró
27,28,0,0,0,0,1,1,2,Vallcarca i els Penitents
28,29,0,0,0,0,0,1,1,el Coll
29,30,0,0,0,1,0,1,2,la Salut
30,31,0,1,0,1,0,1,4,la Vila de Gràcia
31,32,0,1,0,1,0,1,4,el Camp d'en Grassot i Gràcia Nova
32,33,0,1,0,0,0,1,3,el Baix Guinardó
33,34,0,0,0,0,0,1,1,Can Baró
34,35,0,1,0,1,0,1,4,el Guinardó
35,36,0,0,0,0,0,1,1,la Font d'en Fargues
36,37,0,0,0,1,0,1,2,el Carmel
37,38,0,0,0,1,0,1,2,la Teixonera
38,39,1,0,0,0,0,1,5,Sant Genís dels Agudells
39,40,1,0,0,0,0,1,5,Montbau
40,41,0,0,0,0,0,1,1,la Vall d'Hebron
41,42,0,0,0,0,0,1,1,la Clota
42,43,1,1,1,1,0,1,9,Horta
43,44,0,0,0,0,0,1,1,Vilapicina i la Torre Llobeta
44,45,0,1,0,0,0,0,2,Porta
45,46,1,0,0,1,0,1,6,el Turó de la Peira
46,47,0,0,0,0,0,1,1,Can Peguera
47,48,0,0,1,1,0,1,3,la Guineueta
48,49,1,0,1,1,0,1,7,Canyelles
49,50,0,0,0,1,0,1,2,les Roquetes
50,51,0,0,0,0,0,1,1,Verdun
51,52,1,1,0,0,0,1,7,la Prosperitat
52,53,1,0,1,1,0,1,7,la Trinitat Nova
53,54,1,0,0,0,0,1,5,Torre Baró
54,55,1,0,1,1,0,1,7,Ciutat Meridiana
55,56,1,0,0,0,0,1,5,Vallbona
56,57,0,0,0,0,0,1,1,la Trinitat Vella
57,58,0,0,0,0,0,1,1,Baró de Viver
58,59,0,1,0,1,0,0,3,el Bon Pastor
59,60,1,1,1,1,0,1,9,Sant Andreu
60,61,1,1,0,1,0,0,7,la Sagrera
61,62,0,0,0,0,0,1,1,el Congrés i els Indians
62,63,1,1,0,0,0,1,7,Navas
63,64,0,1,1,0,0,1,4,el Camp de l'Arpa del Clot
64,65,1,1,1,1,0,1,9,el Clot
65,66,0,1,0,0,0,0,2,el Parc i la Llacuna del Poblenou
66,67,1,0,0,0,0,0,4,la Vila Olímpica del Poblenou
67,68,1,1,1,1,0,1,9,el Poblenou
68,69,1,0,0,0,0,0,4,Diagonal Mar i el Front Marítim del Poblenou
69,70,1,0,1,1,0,1,7,el Besòs i el Maresme
70,71,0,0,0,0,0,1,1,Provençals del Poblenou
71,72,1,1,1,1,0,1,9,Sant Martí de Provençals
72,73,0,0,0,1,0,1,2,la Verneda i la Pau
